LETO;STATISTICNA_REGIJA;BDP
2008;Pomurska;1429
2008;Podravska;5035
2008;Koroška;1052
2008;Savinjska;4231
2008;Zasavska;675
2008;Posavska;1134
2008;Jugovzhodna Slovenija;2554
2008;Osrednjeslovenska;13630
2008;Gorenjska;3191
2008;Primorsko-notranjska;709
2008;Goriška;2124
2008;Obalno-kraška;2162
2009;Pomurska;1368
2009;Podravska;4770
2009;Koroška;961
2009;Savinjska;3997
2009;Zasavska;637
2009;Posavska;1095
2009;Jugovzhodna Slovenija;2394
2009;Osrednjeslovenska;13330
2009;Gorenjska;2922
2009;Primorsko-notranjska;680
2009;Goriška;1994
2009;Obalno-kraška;2106
2010;Pomurska;1358
2010;Podravska;4724
2010;Koroška;960
2010;Savinjska;4083
2010;Zasavska;642
2010;Posavska;1097
2010;Jugovzhodna Slovenija;2415
2010;Osrednjeslovenska;13327
2010;Gorenjska;2984
2010;Primorsko-notranjska;658
2010;Goriška;1981
2010;Obalno-kraška;2134
2011;Pomurska;1418
2011;Podravska;4832
2011;Koroška;1007
2011;Savinjska;4209
2011;Zasavska;644
2011;Posavska;1130
2011;Jugovzhodna Slovenija;2451
2011;Osrednjeslovenska;13534
2011;Gorenjska;3055
2011;Primorsko-notranjska;666
2011;Goriška;1987
2011;Obalno-kraška;2126
2012;Pomurska;1400
2012;Podravska;4714
2012;Koroška;1008
2012;Savinjska;4123
2012;Zasavska;608
2012;Posavska;1111
2012;Jugovzhodna Slovenija;2372
2012;Osrednjeslovenska;13363
2012;Gorenjska;3003
2012;Primorsko-notranjska;643
2012;Goriška;1918
2012;Obalno-kraška;1991
2013;Pomurska;1424
2013;Podravska;4723
2013;Koroška;1019
2013;Savinjska;4125
2013;Zasavska;610
2013;Posavska;1127
2013;Jugovzhodna Slovenija;2405
2013;Osrednjeslovenska;13390
2013;Gorenjska;3103
2013;Primorsko-notranjska;663
2013;Goriška;1914
2013;Obalno-kraška;1950
2014;Pomurska;1461
2014;Podravska;4920
2014;Koroška;1045
2014;Savinjska;4239
2014;Zasavska;599
2014;Posavska;1156
2014;Jugovzhodna Slovenija;2468
2014;Osrednjeslovenska;13820
2014;Gorenjska;3268
2014;Primorsko-notranjska;693
2014;Goriška;1958
2014;Obalno-kraška;2008
2015;Pomurska;1475
2015;Podravska;5016
2015;Koroška;1091
2015;Savinjska;4426
2015;Zasavska;588
2015;Posavska;1196
2015;Jugovzhodna Slovenija;2555
2015;Osrednjeslovenska;14210
2015;Gorenjska;3392
2015;Primorsko-notranjska;738
2015;Goriška;2042
2015;Obalno-kraška;2123
2016;Pomurska;1540
2016;Podravska;5157
2016;Koroška;1127
2016;Savinjska;4581
2016;Zasavska;600
2016;Posavska;1239
2016;Jugovzhodna Slovenija;2632
2016;Osrednjeslovenska;14892
2016;Gorenjska;3494
2016;Primorsko-notranjska;770
2016;Goriška;2126
2016;Obalno-kraška;2208
2017;Pomurska;1621
2017;Podravska;5425
2017;Koroška;1181
2017;Savinjska;4862
2017;Zasavska;627
2017;Posavska;1302
2017;Jugovzhodna Slovenija;2898
2017;Osrednjeslovenska;15816
2017;Gorenjska;3784
2017;Primorsko-notranjska;793
2017;Goriška;2258
2017;Obalno-kraška;2420
2018;Pomurska;1714
2018;Podravska;5749
2018;Koroška;1264
2018;Savinjska;5115
2018;Zasavska;661
2018;Posavska;1383
2018;Jugovzhodna Slovenija;3104
2018;Osrednjeslovenska;16970
2018;Gorenjska;4041
2018;Primorsko-notranjska;829
2018;Goriška;2341
2018;Obalno-kraška;2584
