"Bruto domaèi proizvod na prebivalca (EUR), statistiène regije, Slovenija, letno"

"STATISTIÈNA REGIJA";"LETO";Bruto domaèi proizvod na prebivalca (EUR)
"Pomurska";"2008";11875
"Pomurska";"2009";11435
"Pomurska";"2010";11383
"Pomurska";"2011";11899
"Pomurska";"2012";11801
"Pomurska";"2013";12095
"Pomurska";"2014";12489
"Pomurska";"2015";12667
"Pomurska";"2016";13296
"Pomurska";"2017";14062
"Pomurska";"2018";14937
"Podravska";"2008";15697
"Podravska";"2009";14769
"Podravska";"2010";14632
"Podravska";"2011";14964
"Podravska";"2012";14591
"Podravska";"2013";14632
"Podravska";"2014";15229
"Podravska";"2015";15549
"Podravska";"2016";16038
"Podravska";"2017";16880
"Podravska";"2018";17838
"Koroška";"2008";14451
"Koroška";"2009";13201
"Koroška";"2010";13201
"Koroška";"2011";13882
"Koroška";"2012";13938
"Koroška";"2013";14157
"Koroška";"2014";14631
"Koroška";"2015";15319
"Koroška";"2016";15866
"Koroška";"2017";16681
"Koroška";"2018";17885
"Savinjska";"2008";16778
"Savinjska";"2009";15754
"Savinjska";"2010";16070
"Savinjska";"2011";16557
"Savinjska";"2012";16186
"Savinjska";"2013";16191
"Savinjska";"2014";16673
"Savinjska";"2015";17405
"Savinjska";"2016";17973
"Savinjska";"2017";19062
"Savinjska";"2018";19987
"Zasavska";"2008";11377
"Zasavska";"2009";10734
"Zasavska";"2010";10832
"Zasavska";"2011";10904
"Zasavska";"2012";10355
"Zasavska";"2013";10457
"Zasavska";"2014";10358
"Zasavska";"2015";10213
"Zasavska";"2016";10448
"Zasavska";"2017";10948
"Zasavska";"2018";11574
"Posavska";"2008";14964
"Posavska";"2009";14415
"Posavska";"2010";14422
"Posavska";"2011";14874
"Posavska";"2012";14600
"Posavska";"2013";14828
"Posavska";"2014";15266
"Posavska";"2015";15793
"Posavska";"2016";16365
"Posavska";"2017";17268
"Posavska";"2018";18314
"Jugovzhodna Slovenija";"2008";18202
"Jugovzhodna Slovenija";"2009";16870
"Jugovzhodna Slovenija";"2010";16962
"Jugovzhodna Slovenija";"2011";17187
"Jugovzhodna Slovenija";"2012";16612
"Jugovzhodna Slovenija";"2013";16864
"Jugovzhodna Slovenija";"2014";17349
"Jugovzhodna Slovenija";"2015";17948
"Jugovzhodna Slovenija";"2016";18444
"Jugovzhodna Slovenija";"2017";20305
"Jugovzhodna Slovenija";"2018";21630
"Osrednjeslovenska";"2008";27172
"Osrednjeslovenska";"2009";26043
"Osrednjeslovenska";"2010";25783
"Osrednjeslovenska";"2011";26029
"Osrednjeslovenska";"2012";25555
"Osrednjeslovenska";"2013";25383
"Osrednjeslovenska";"2014";25940
"Osrednjeslovenska";"2015";26540
"Osrednjeslovenska";"2016";27681
"Osrednjeslovenska";"2017";29273
"Osrednjeslovenska";"2018";31169
"Gorenjska";"2008";15883
"Gorenjska";"2009";14437
"Gorenjska";"2010";14688
"Gorenjska";"2011";14995
"Gorenjska";"2012";14706
"Gorenjska";"2013";15215
"Gorenjska";"2014";16026
"Gorenjska";"2015";16630
"Gorenjska";"2016";17151
"Gorenjska";"2017";18579
"Gorenjska";"2018";19833
"Primorsko-notranjska";"2008";13686
"Primorsko-notranjska";"2009";13032
"Primorsko-notranjska";"2010";12603
"Primorsko-notranjska";"2011";12706
"Primorsko-notranjska";"2012";12254
"Primorsko-notranjska";"2013";12620
"Primorsko-notranjska";"2014";13186
"Primorsko-notranjska";"2015";14050
"Primorsko-notranjska";"2016";14638
"Primorsko-notranjska";"2017";15096
"Primorsko-notranjska";"2018";15837
"Goriška";"2008";17915
"Goriška";"2009";16756
"Goriška";"2010";16634
"Goriška";"2011";16668
"Goriška";"2012";16082
"Goriška";"2013";16079
"Goriška";"2014";16545
"Goriška";"2015";17276
"Goriška";"2016";18021
"Goriška";"2017";19184
"Goriška";"2018";19930
"Obalno-kraška";"2008";20086
"Obalno-kraška";"2009";19176
"Obalno-kraška";"2010";19274
"Obalno-kraška";"2011";19139
"Obalno-kraška";"2012";17840
"Obalno-kraška";"2013";17381
"Obalno-kraška";"2014";17813
"Obalno-kraška";"2015";18795
"Obalno-kraška";"2016";19507
"Obalno-kraška";"2017";21283
"Obalno-kraška";"2018";22627
