"","Leto","Regija","BDP"
"1",2008,"Pomurska",1429
"2",2008,"Podravska",5035
"3",2008,"Koroška",1052
"4",2008,"Savinjska",4231
"5",2008,"Zasavska",675
"6",2008,"Posavska",1134
"7",2008,"Jugovzhodna Slovenija",2554
"8",2008,"Osrednjeslovenska",13630
"9",2008,"Gorenjska",3191
"10",2008,"Primorsko-notranjska",709
"11",2008,"Goriška",2124
"12",2008,"Obalno-kraška",2162
"13",2009,"Pomurska",1368
"14",2009,"Podravska",4770
"15",2009,"Koroška",961
"16",2009,"Savinjska",3997
"17",2009,"Zasavska",637
"18",2009,"Posavska",1095
"19",2009,"Jugovzhodna Slovenija",2394
"20",2009,"Osrednjeslovenska",13330
"21",2009,"Gorenjska",2922
"22",2009,"Primorsko-notranjska",680
"23",2009,"Goriška",1994
"24",2009,"Obalno-kraška",2106
"25",2010,"Pomurska",1358
"26",2010,"Podravska",4724
"27",2010,"Koroška",960
"28",2010,"Savinjska",4083
"29",2010,"Zasavska",642
"30",2010,"Posavska",1097
"31",2010,"Jugovzhodna Slovenija",2415
"32",2010,"Osrednjeslovenska",13327
"33",2010,"Gorenjska",2984
"34",2010,"Primorsko-notranjska",658
"35",2010,"Goriška",1981
"36",2010,"Obalno-kraška",2134
"37",2011,"Pomurska",1418
"38",2011,"Podravska",4832
"39",2011,"Koroška",1007
"40",2011,"Savinjska",4209
"41",2011,"Zasavska",644
"42",2011,"Posavska",1130
"43",2011,"Jugovzhodna Slovenija",2451
"44",2011,"Osrednjeslovenska",13534
"45",2011,"Gorenjska",3055
"46",2011,"Primorsko-notranjska",666
"47",2011,"Goriška",1987
"48",2011,"Obalno-kraška",2126
"49",2012,"Pomurska",1400
"50",2012,"Podravska",4714
"51",2012,"Koroška",1008
"52",2012,"Savinjska",4123
"53",2012,"Zasavska",608
"54",2012,"Posavska",1111
"55",2012,"Jugovzhodna Slovenija",2372
"56",2012,"Osrednjeslovenska",13363
"57",2012,"Gorenjska",3003
"58",2012,"Primorsko-notranjska",643
"59",2012,"Goriška",1918
"60",2012,"Obalno-kraška",1991
"61",2013,"Pomurska",1424
"62",2013,"Podravska",4723
"63",2013,"Koroška",1019
"64",2013,"Savinjska",4125
"65",2013,"Zasavska",610
"66",2013,"Posavska",1127
"67",2013,"Jugovzhodna Slovenija",2405
"68",2013,"Osrednjeslovenska",13390
"69",2013,"Gorenjska",3103
"70",2013,"Primorsko-notranjska",663
"71",2013,"Goriška",1914
"72",2013,"Obalno-kraška",1950
"73",2014,"Pomurska",1461
"74",2014,"Podravska",4920
"75",2014,"Koroška",1045
"76",2014,"Savinjska",4239
"77",2014,"Zasavska",599
"78",2014,"Posavska",1156
"79",2014,"Jugovzhodna Slovenija",2468
"80",2014,"Osrednjeslovenska",13820
"81",2014,"Gorenjska",3268
"82",2014,"Primorsko-notranjska",693
"83",2014,"Goriška",1958
"84",2014,"Obalno-kraška",2008
"85",2015,"Pomurska",1475
"86",2015,"Podravska",5016
"87",2015,"Koroška",1091
"88",2015,"Savinjska",4426
"89",2015,"Zasavska",588
"90",2015,"Posavska",1196
"91",2015,"Jugovzhodna Slovenija",2555
"92",2015,"Osrednjeslovenska",14210
"93",2015,"Gorenjska",3392
"94",2015,"Primorsko-notranjska",738
"95",2015,"Goriška",2042
"96",2015,"Obalno-kraška",2123
"97",2016,"Pomurska",1540
"98",2016,"Podravska",5157
"99",2016,"Koroška",1127
"100",2016,"Savinjska",4581
"101",2016,"Zasavska",600
"102",2016,"Posavska",1239
"103",2016,"Jugovzhodna Slovenija",2632
"104",2016,"Osrednjeslovenska",14892
"105",2016,"Gorenjska",3494
"106",2016,"Primorsko-notranjska",770
"107",2016,"Goriška",2126
"108",2016,"Obalno-kraška",2208
"109",2017,"Pomurska",1621
"110",2017,"Podravska",5425
"111",2017,"Koroška",1181
"112",2017,"Savinjska",4862
"113",2017,"Zasavska",627
"114",2017,"Posavska",1302
"115",2017,"Jugovzhodna Slovenija",2898
"116",2017,"Osrednjeslovenska",15816
"117",2017,"Gorenjska",3784
"118",2017,"Primorsko-notranjska",793
"119",2017,"Goriška",2258
"120",2017,"Obalno-kraška",2420
"121",2018,"Pomurska",1714
"122",2018,"Podravska",5749
"123",2018,"Koroška",1264
"124",2018,"Savinjska",5115
"125",2018,"Zasavska",661
"126",2018,"Posavska",1383
"127",2018,"Jugovzhodna Slovenija",3104
"128",2018,"Osrednjeslovenska",16970
"129",2018,"Gorenjska",4041
"130",2018,"Primorsko-notranjska",829
"131",2018,"Goriška",2341
"132",2018,"Obalno-kraška",2584
