LETO;DRZAVA;PLACE
2008;Iceland;3358
2008;Luxembourg;4051
2008;Norway;4149
2008;Austria;3410
2008;Ireland;3682
2008;Germany;3103
2008;Belgium;2936
2008;Finland;2876
2008;Sweden;2821
2008;United Kingdom;3172
2008;Spain;2014
2008;Cyprus;1801
2008;Slovenia;1391
2008;Estonia;825
2008;Czech Republic;906
2008;Portugal;1008
2008;Croatia;1044
2008;Poland;837
2008;Hungary;792
2008;Slovakia;773
2008;Latvia;682
2008;Romania;478
2008;Lithuania;623
2008;Montenegro;609
2008;Bosnia and Herzegovina;569
2008;Bulgaria;279
2008;Serbia;561
2008;North Macedonia;430
2008;Georgia;244
2008;Moldova;165
2008;Armenia;194
2008;Ukraine;234
2008;Azerbaijan;227
2009;Iceland;2461
2009;Denmark;5799
2009;Luxembourg;4168
2009;Norway;4044
2009;Austria;3492
2009;Ireland;3698
2009;Germany;3141
2009;Belgium;3027
2009;Finland;2971
2009;Sweden;2627
2009;United Kingdom;2904
2009;Spain;2065
2009;Cyprus;1870
2009;Slovenia;1439
2009;Estonia;784
2009;Czech Republic;883
2009;Portugal;1034
2009;Croatia;1051
2009;Poland;717
2009;Hungary;712
2009;Slovakia;745
2009;Latvia;655
2009;Romania;435
2009;Lithuania;596
2009;Montenegro;643
2009;Bosnia and Herzegovina;616
2009;Bulgaria;311
2009;Serbia;470
2009;North Macedonia;491
2009;Georgia;239
2009;Moldova;177
2009;Armenia;189
2009;Ukraine;175
2009;Azerbaijan;266
2010;Iceland;2662
2010;Denmark;4960
2010;Luxembourg;4276
2010;Norway;4584
2010;Austria;3540
2010;Ireland;3697
2010;Germany;3227
2010;Belgium;3103
2010;Finland;3040
2010;Sweden;2977
2010;United Kingdom;3021
2010;Spain;2126
2010;Cyprus;1915
2010;Slovenia;1495
2010;Estonia;792
2010;Czech Republic;944
2010;Portugal;1075
2010;Croatia;1054
2010;Poland;807
2010;Hungary;735
2010;Slovakia;769
2010;Latvia;633
2010;Romania;452
2010;Lithuania;576
2010;Montenegro;715
2010;Bosnia and Herzegovina;622
2010;Bulgaria;331
2010;Serbia;460
2010;North Macedonia;495
2010;Georgia;253
2010;Moldova;181
2010;Armenia;207
2010;Ukraine;214
2010;Azerbaijan;311
2011;Iceland;2850
2011;Denmark;5037
2011;Luxembourg;4376
2011;Norway;4889
2011;Austria;3625
2011;Ireland;3669
2011;Germany;3311
2011;Belgium;3192
2011;Finland;3109
2011;Sweden;3210
2011;United Kingdom;3033
2011;Spain;2157
2011;Cyprus;1967
2011;Slovenia;1525
2011;Estonia;839
2011;Czech Republic;995
2011;Portugal;1084
2011;Croatia;1049
2011;Poland;825
2011;Hungary;763
2011;Slovakia;786
2011;Latvia;660
2011;Romania;467
2011;Lithuania;593
2011;Montenegro;722
2011;Bosnia and Herzegovina;650
2011;Bulgaria;351
2011;Serbia;517
2011;North Macedonia;500
2011;Georgia;271
2011;Moldova;196
2011;Armenia;208
2011;Ukraine;239
2011;Azerbaijan;331
2012;Iceland;3036
2012;Denmark;5144
2012;Luxembourg;4487
2012;Norway;5298
2012;Austria;3728
2012;Ireland;3708
2012;Germany;3391
2012;Belgium;3258
2012;Finland;3206
2012;Sweden;3423
2012;United Kingdom;3268
2012;Spain;2169
2012;Cyprus;1988
2012;Slovenia;1525
2012;Estonia;887
2012;Czech Republic;997
2012;Portugal;1095
2012;Croatia;1048
2012;Poland;841
2012;Hungary;771
2012;Slovakia;805
2012;Latvia;685
2012;Romania;463
2012;Lithuania;615
2012;Montenegro;727
2012;Bosnia and Herzegovina;660
2012;Bulgaria;374
2012;Serbia;508
2012;North Macedonia;501
2012;Kosovo;431
2012;Georgia;336
2012;Moldova;223
2012;Armenia;219
2012;Ukraine;296
2012;Azerbaijan;394
2013;Iceland;3239
2013;Denmark;5190
2013;Luxembourg;4616
2013;Norway;5251
2013;Austria;3817
2013;Ireland;3726
2013;Germany;3449
2013;Belgium;3300
2013;Finland;3284
2013;Sweden;3538
2013;United Kingdom;3177
2013;Spain;2183
2013;Cyprus;1945
2013;Slovenia;1523
2013;Estonia;949
2013;Czech Republic;964
2013;Portugal;1093
2013;Croatia;1048
2013;Poland;870
2013;Hungary;777
2013;Slovakia;824
2013;Latvia;716
2013;Romania;489
2013;Lithuania;646
2013;Montenegro;726
2013;Bosnia and Herzegovina;660
2013;Bulgaria;396
2013;Serbia;537
2013;North Macedonia;500
2013;Kosovo;444
2013;Georgia;350
2013;Moldova;225
2013;Armenia;269
2013;Ukraine;309
2013;Azerbaijan;408
2014;Iceland;3636
2014;Denmark;5246
2014;Luxembourg;4734
2014;Norway;5064
2014;Austria;3880
2014;Ireland;3736
2014;Germany;3527
2014;Belgium;3414
2014;Finland;3308
2014;Sweden;3452
2014;United Kingdom;3371
2014;Spain;2206
2014;Cyprus;1892
2014;Slovenia;1540
2014;Estonia;1005
2014;Czech Republic;936
2014;Portugal;1093
2014;Croatia;1042
2014;Poland;904
2014;Hungary;770
2014;Slovakia;858
2014;Latvia;765
2014;Romania;524
2014;Lithuania;677
2014;Montenegro;723
2014;Bosnia and Herzegovina;659
2014;Bulgaria;420
2014;Serbia;524
2014;North Macedonia;510
2014;Kosovo;482
2014;Albania;325
2014;Georgia;349
2014;Moldova;224
2014;Armenia;287
2014;Ukraine;221
2014;Azerbaijan;426
2015;Iceland;4183
2015;Denmark;5331
2015;Luxembourg;4811
2015;Norway;4758
2015;Austria;3973
2015;Ireland;3755
2015;Germany;3612
2015;Belgium;3445
2015;Finland;3333
2015;Sweden;3420
2015;United Kingdom;3773
2015;Spain;2204
2015;Cyprus;1882
2015;Slovenia;1556
2015;Estonia;1065
2015;Czech Republic;975
2015;Portugal;1097
2015;Croatia;1058
2015;Poland;932
2015;Hungary;800
2015;Slovakia;883
2015;Latvia;818
2015;Romania;575
2015;Lithuania;714
2015;Montenegro;725
2015;Bosnia and Herzegovina;659
2015;Bulgaria;449
2015;Serbia;506
2015;North Macedonia;525
2015;Kosovo;510
2015;Albania;343
2015;Georgia;357
2015;Moldova;221
2015;Armenia;323
2015;Ukraine;173
2015;Azerbaijan;410
2016;Iceland;4963
2016;Denmark;5412
2016;Luxembourg;4848
2016;Norway;4661
2016;Austria;4081
2016;Ireland;3803
2016;Germany;3703
2016;Belgium;3489
2016;Finland;3368
2016;Sweden;3463
2016;United Kingdom;3442
2016;Spain;2213
2016;Cyprus;1879
2016;Slovenia;1585
2016;Estonia;1146
2016;Czech Republic;1027
2016;Portugal;1108
2016;Croatia;1030
2016;Poland;928
2016;Hungary;845
2016;Slovakia;912
2016;Latvia;859
2016;Romania;626
2016;Lithuania;774
2016;Montenegro;751
2016;Bosnia and Herzegovina;665
2016;Bulgaria;485
2016;Serbia;516
2016;North Macedonia;535
2016;Kosovo;519
2016;Albania;346
2016;Georgia;359
2016;Moldova;231
2016;Armenia;328
2016;Ukraine;183
2016;Azerbaijan;283
2017;Iceland;5865
2017;Denmark;5531
2017;Luxembourg;5007
2017;Norway;4751
2017;Austria;4164
2017;Ireland;3867
2017;Germany;3771
2017;Belgium;3558
2017;Finland;3395
2017;Sweden;3499
2017;United Kingdom;2451
2017;Spain;2243
2017;Cyprus;1892
2017;Slovenia;1627
2017;Estonia;1221
2017;Czech Republic;1126
2017;Portugal;1133
2017;Croatia;1080
2017;Poland;1003
2017;Hungary;961
2017;Slovakia;954
2017;Latvia;926
2017;Romania;706
2017;Lithuania;840
2017;Montenegro;765
2017;Bosnia and Herzegovina;675
2017;Bulgaria;530
2017;Serbia;544
2017;North Macedonia;549
2017;Kosovo;528
2017;Albania;365
2017;Georgia;353
2017;Moldova;274
2017;Armenia;326
2017;Ukraine;237
2017;Azerbaijan;272
2018;Iceland;5645
2018;Denmark;5626
2018;Luxembourg;5143
2018;Norway;4753
2018;Austria;4261
2018;Ireland;3966
2018;Germany;3880
2018;Finland;3465
2018;Sweden;3373
2018;United Kingdom;2389
2018;Spain;2295
2018;Cyprus;1939
2018;Slovenia;1682
2018;Estonia;1310
2018;Czech Republic;1243
2018;Portugal;1170
2018;Croatia;1139
2018;Poland;1076
2018;Hungary;1035
2018;Slovakia;1013
2018;Latvia;1004
2018;Romania;965
2018;Lithuania;924
2018;Montenegro;766
2018;Bosnia and Herzegovina;697
2018;Bulgaria;586
2018;Serbia;580
2018;North Macedonia;579
2018;Kosovo;558
2018;Albania;396
2018;Georgia;376
2018;Moldova;325
2018;Armenia;303
2018;Ukraine;276
2018;Azerbaijan;271
